Commuting Zone,czname,ncollege,nfouryr,nfouryrpriv,npub,nelite,hascollege,Income Age 26 Slope,Income Age 26 Intercept,College Age 19 Slope,College Age 19 Intercept,Number of Children,Birth Cohort
27008,Parkston,0,0,0,0,0,0,0.42387000000000002,0.43119000000000002,0.84253999999999996,0.31491999999999998,327,1986
27009,Chamberlain,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27010,Miller,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27011,Pierre,0,0,0,0,0,0,0.18418000000000001,0.44841999999999999,0.84316000000000002,0.20660999999999999,329,1986
27012,Gettysburg,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27101,Willmar,0,0,0,0,0,0,0.25829000000000002,0.46733000000000002,0.67569999999999997,0.33061000000000001,1212,1986
27102,Marshall,0,0,0,0,0,0,0.25247999999999998,0.50492999999999999,0.60338999999999998,0.42207,780,1986
27201,Sioux Center,3,2,2,1,0,1,0.26465,0.53259999999999996,0.56162000000000001,0.43613000000000002,892,1986
27202,Worthington,0,0,0,0,0,0,0.29544999999999999,0.45291999999999999,0.73972000000000004,0.32379999999999998,796,1986
27301,Spencer,0,0,0,0,0,0,0.13930000000000001,0.53841000000000006,0.51690000000000003,0.48365999999999998,824,1986
27302,Fairmont,1,0,0,1,0,1,0.28549000000000002,0.44996000000000003,0.70387999999999995,0.30687999999999999,697,1986
27401,Storm Lake,1,1,1,0,0,1,0.21035999999999999,0.51856000000000002,0.56238999999999995,0.43379000000000001,745,1986
27402,Fort Dodge,1,0,0,1,0,1,0.29552,0.44414999999999999,0.73028999999999999,0.31307000000000001,1414,1986
27501,Des Moines,6,5,4,2,0,1,0.27212999999999998,0.41139999999999999,0.74619999999999997,0.20457,7432,1986
27502,Creston,2,1,1,1,0,1,0.21862999999999999,0.47969000000000001,0.61468,0.25781999999999999,438,1986
27503,Atlantic,0,0,0,0,0,0,0.2165,0.51034000000000002,0.65407999999999999,0.37476999999999999,473,1986
27504,Carroll,0,0,0,0,0,0,0.23189000000000001,0.50914000000000004,0.66746000000000005,0.38374999999999998,744,1986
27601,Rapid City,1,0,0,1,0,1,0.23394999999999999,0.43093999999999999,0.72475000000000001,0.15712000000000001,2361,1986
27602,Eagle Butte,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27603,Southwest Jackson UT,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27604,Murdo,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27605,Mission,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
27701,Scottsbluff,2,1,0,2,0,1,0.23025000000000001,0.45456999999999997,0.76221000000000005,0.22702,988,1986
27702,Cheyenne,1,0,0,1,0,1,0.25123000000000001,0.436,0.68306999999999995,0.20229,1416,1986
27703,Torrington,1,0,0,1,0,1,0.31419000000000002,0.42365000000000003,0.68811999999999995,0.26211000000000001,297,1986
27704,Gordon,0,0,0,0,0,0,0.44653999999999999,0.20794000000000001,0.85285,0.01261,433,1986
27801,Virginia Beach,1,0,0,1,0,1,0.20730999999999999,0.49109000000000003,0.53871999999999998,0.36364999999999997,918,1986
27802,Columbus,0,0,0,0,0,0,0.16155,0.53969999999999996,0.64310999999999996,0.37925999999999999,1012,1986
27901,Hastings,1,1,1,0,0,1,0.25538,0.44830999999999999,0.76107999999999998,0.30939,614,1986
27902,York,0,0,0,0,0,0,0.19852,0.53949999999999998,0.67074999999999996,0.37453999999999998,401,1986
27903,Grand Island,1,0,0,1,0,1,0.24773000000000001,0.46376000000000001,0.72872000000000003,0.27983000000000002,1155,1986
28001,Sioux City,4,3,2,2,0,1,0.25546999999999997,0.43514000000000003,0.76775000000000004,0.2326,2639,1986
28002,West Point,0,0,0,0,0,0,0.45193,0.36041000000000001,0.83201000000000003,0.24464,386,1986
28101,Lincoln,5,4,3,2,0,1,0.25742999999999999,0.41177000000000002,0.72411000000000003,0.24998999999999999,3823,1986
28102,Nebraska City,1,1,0,1,0,1,0.22672999999999999,0.48610999999999999,0.57618999999999998,0.37169000000000002,543,1986
28201,Red Oak,0,0,0,0,0,0,0.31220999999999999,0.43923000000000001,0.67657999999999996,0.30552000000000001,645,1986
28202,Omaha,5,3,3,2,0,1,0.27561000000000002,0.39279999999999998,0.71353,0.21812000000000001,11465,1986
28301,Sterling,1,0,0,1,0,1,0.24396000000000001,0.46449000000000001,0.64215999999999995,0.34128999999999998,550,1986
28302,Ogallala,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28303,Oshkosh,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28304,Valentine,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28305,Broken Bow,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28306,North Platte,1,0,0,1,0,1,0.16902,0.47738999999999998,0.70076000000000005,0.18845000000000001,510,1986
28401,Colorado Springs,2,2,1,0,1,1,0.20330999999999999,0.40376000000000001,0.61638000000000004,0.21984999999999999,8161,1986
28402,Limon,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28501,Springfield,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28502,Pueblo,3,1,0,3,0,1,0.26927000000000001,0.36413000000000001,0.65278000000000003,0.26111000000000001,2429,1986
28503,Trinidad,0,0,0,0,0,0,0.17657,0.40366000000000002,0.52217000000000002,0.32984000000000002,291,1986
28504,Burlington,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28601,Oberlin,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28602,Norton,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28603,Phillipsburg,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28604,Colby,1,0,0,1,0,1,0.24584,0.48846000000000001,0.55989999999999995,0.45505000000000001,260,1986
28605,Goodland,1,0,0,1,0,1,NA,NA,NA,NA,NA,1986
28606,Wano,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28607,McCook,0,0,0,0,0,0,0.2999,0.44212000000000001,0.68911999999999995,0.27795999999999998,276,1986
28608,Kearney,0,0,0,0,0,0,0.22528999999999999,0.47212999999999999,0.64895000000000003,0.38444,750,1986
28609,Lexington,0,0,0,0,0,0,0.23133999999999999,0.49380000000000002,0.72265999999999997,0.26790000000000003,689,1986
28701,Salida,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28702,Glenwood Springs,1,1,0,1,0,1,0.11176999999999999,0.47249000000000002,0.61899999999999999,0.25739000000000001,1375,1986
28703,Granby,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
28704,Laramie,1,1,0,1,0,1,0.02249,0.52773000000000003,0.61455000000000004,0.24116000000000001,339,1986
28800,Fort Collins,3,2,0,2,0,1,0.18334,0.43813999999999997,0.64254999999999995,0.21315999999999999,5830,1986
28900,Denver,13,8,4,6,1,1,0.2014,0.40645999999999999,0.65068000000000004,0.21360000000000001,30686,1986
29001,Pratt,1,0,0,1,0,1,NA,NA,NA,NA,NA,1986
29002,Coldwater,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
29003,Dodge City,1,0,0,1,0,1,0.18418999999999999,0.49038999999999999,0.72653000000000001,0.24784999999999999,601,1986
29004,Great Bend,1,0,0,1,0,1,0.27412999999999998,0.46451999999999999,0.70964000000000005,0.27666000000000002,689,1986
29005,Hutchinson,2,1,1,1,0,1,0.23153000000000001,0.44585000000000002,0.82382,0.18672,1082,1986
29006,Hays,1,1,0,1,0,1,0.14879000000000001,0.50773000000000001,0.47837000000000002,0.43786000000000003,500,1986
29007,Township 11,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
